mint,sol_amount,is_buy,market_cap,token_amount,total_supply,usd_market_cap,virtual_sol_reserves,virtual_token_reserves
222pG7N7PycnLtLo8DbV2eQxrceksNs53Q9EYimvUhrJ,283722396,True,75.448727842,3738940635892,1000000000000000,14320.1685444116,49565509705,649443541268771
222pG7N7PycnLtLo8DbV2eQxrceksNs53Q9EYimvUhrJ,73372500,False,78.059078747,941339000000,1000000000000000,14815.613146180602,50053683639,643109513970128
222pG7N7PycnLtLo8DbV2eQxrceksNs53Q9EYimvUhrJ,1074042338,True,77.830731083,12727566363137,1000000000000000,14772.272759553402,52659079430,611290598062285
222pG7N7PycnLtLo8DbV2eQxrceksNs53Q9EYimvUhrJ,787581825,False,62.98164782,12727566363137,1000000000000000,11953.916756236,44238846566,727641036387847
222pG7N7PycnLtLo8DbV2eQxrceksNs53Q9EYimvUhrJ,419551616,False,58.898581751,7192592901520,1000000000000000,11180.12878797482,43122903030,746471084017687
222pG7N7PycnLtLo8DbV2eQxrceksNs53Q9EYimvUhrJ,100000001,True,58.371464632,1709222752223,1000000000000000,11080.07141644624,43447173582,740899753291988
222pG7N7PycnLtLo8DbV2eQxrceksNs53Q9EYimvUhrJ,91468196,False,58.64109603,1563087574847,1000000000000000,11131.2528484146,43355705386,742462840866835
222pG7N7PycnLtLo8DbV2eQxrceksNs53Q9EYimvUhrJ,12000001,True,58.909620599,203645753981,1000000000000000,11182.22418210218,43558534863,739005577086939
222pG7N7PycnLtLo8DbV2eQxrceksNs53Q9EYimvUhrJ,11999999,False,58.942092206,203645753967,1000000000000000,11192.51388899734,43546534865,739209222840920
222pG7N7PycnLtLo8DbV2eQxrceksNs53Q9EYimvUhrJ,12000000,False,58.942092214,203645753939,1000000000000000,11192.51389051646,43546534872,739209222840920
222pG7N7PycnLtLo8DbV2eQxrceksNs53Q9EYimvUhrJ,11999999,False,56.484828835,212506229324,1000000000000000,10725.90414747815,42628903504,755121468201012
222pG7N7PycnLtLo8DbV2eQxrceksNs53Q9EYimvUhrJ,12000000,False,50.402896865,238152503090,1000000000000000,9571.00608569485,40267886550,799396317132459
222pG7N7PycnLtLo8DbV2eQxrceksNs53Q9EYimvUhrJ,11297126,False,43.548770974,259491515979,1000000000000000,8269.476120252859,37429789222,860010191948928
222pG7N7PycnLtLo8DbV2eQxrceksNs53Q9EYimvUhrJ,11999999,False,34.053529192,352514149872,1000000000000000,6466.424658268879,33096656150,972605814649438
222pG7N7PycnLtLo8DbV2eQxrceksNs53Q9EYimvUhrJ,11999999,False,34.018972008,352872306090,1000000000000000,6459.862594599119,33079852721,973099865176826
222pG7N7PycnLtLo8DbV2eQxrceksNs53Q9EYimvUhrJ,12018089,False,47.436948831,253426638230,1000000000000000,9007.80221351859,39064770340,824016113570007
222pG7N7PycnLtLo8DbV2eQxrceksNs53Q9EYimvUhrJ,11999999,False,47.089034484,254914969318,1000000000000000,8941.73675816676,38921225290,827055160834805
222pG7N7PycnLtLo8DbV2eQxrceksNs53Q9EYimvUhrJ,11999999,False,47.089034487,254914969298,1000000000000000,8941.73675873643,38921225293,827055160834805
222pG7N7PycnLtLo8DbV2eQxrceksNs53Q9EYimvUhrJ,12000000,False,47.089034491,254914969298,1000000000000000,8941.736759495989,38921225294,827055160834805
222pG7N7PycnLtLo8DbV2eQxrceksNs53Q9EYimvUhrJ,11999999,False,47.089034493,254914969279,1000000000000000,8941.73675987577,38921225296,827055160834805
222pG7N7PycnLtLo8DbV2eQxrceksNs53Q9EYimvUhrJ,12000000,False,47.089034494,254914969279,1000000000000000,8941.73676006566,38921225298,827055160834805
222pG7N7PycnLtLo8DbV2eQxrceksNs53Q9EYimvUhrJ,12000001,True,43.03559379,278928884111,1000000000000000,8172.028904783099,37219830409,864861551303285
222pG7N7PycnLtLo8DbV2eQxrceksNs53Q9EYimvUhrJ,11999999,False,43.035593794,278928884089,1000000000000000,8172.028905542659,37207830411,865140480187396
222pG7N7PycnLtLo8DbV2eQxrceksNs53Q9EYimvUhrJ,12000000,False,43.007848169,278928884044,1000000000000000,8166.760288811409,37207830418,865140480187396
222pG7N7PycnLtLo8DbV2eQxrceksNs53Q9EYimvUhrJ,11999999,False,43.278919932,277360416422,1000000000000000,8218.234105887479,37312903818,862704238801235
222pG7N7PycnLtLo8DbV2eQxrceksNs53Q9EYimvUhrJ,11999999,False,40.591660514,295725398836,1000000000000000,7707.950415003459,36135552666,890812452400370
222pG7N7PycnLtLo8DbV2eQxrceksNs53Q9EYimvUhrJ,12000000,False,40.591660516,295725398836,1000000000000000,7707.950415383239,36135552667,890812452400370
222pG7N7PycnLtLo8DbV2eQxrceksNs53Q9EYimvUhrJ,12000000,False,35.632809121,336887650574,1000000000000000,6766.31412398669,33855685727,950800422858105
222pG7N7PycnLtLo8DbV2eQxrceksNs53Q9EYimvUhrJ,11999999,False,35.632809125,336887650515,1000000000000000,6788.40646640375,33855685732,950800422858105
222pG7N7PycnLtLo8DbV2eQxrceksNs53Q9EYimvUhrJ,500000001,True,35.674986835,13811636876463,1000000000000000,6811.42523640655,34387724000,936089876887927
222pG7N7PycnLtLo8DbV2eQxrceksNs53Q9EYimvUhrJ,34650000,True,35.891869682,964416567330,1000000000000000,6926.05409253554,34025226590,946062776234760
22MJjKfZsM9vaGocvwvdJzE8XdVngwZ9QshpKKVbWXZy,569448147,False,29.030480347,19987860359644,1000000000000000,5509.985169860601,30000000077,1072999999954398
22PkVQL2aQ44CtgghiSAE8yn4PkVtn4KLEUMpVYPpump,207900026,False,28.34964541,7384244999615,1000000000000000,5365.7373867507,30000959606,1072965813818900
22PkVQL2aQ44CtgghiSAE8yn4PkVtn4KLEUMpVYPpump,221900028,True,27.960778643,7877849642460,1000000000000000,5339.390289667281,30222859640,1065087964176440
22PkVQL2aQ44CtgghiSAE8yn4PkVtn4KLEUMpVYPpump,204878554,False,28.343974682,7277655524719,1000000000000000,5412.56540527472,30000959624,1072965813818900
22PkVQL2aQ44CtgghiSAE8yn4PkVtn4KLEUMpVYPpump,210900027,True,27.960778661,7490055934343,1000000000000000,5306.9557898578005,30211859659,1065475757884557
22PkVQL2aQ44CtgghiSAE8yn4PkVtn4KLEUMpVYPpump,212900026,False,28.359030769,7560584883939,1000000000000000,5383.11122057158,30000959643,1072965813818900
22PkVQL2aQ44CtgghiSAE8yn4PkVtn4KLEUMpVYPpump,219900027,False,28.372172837,7807362693331,1000000000000000,5387.59190001793,30000959648,1072965813818900
22ShvZxqExrqdyXygBVHWXtV5h21mKjKVCywZj5Tpump,16504531,True,60.000749206,274968814862,1000000000000000,11393.54226672734,43964475107,732182061422313
22ShvZxqExrqdyXygBVHWXtV5h21mKjKVCywZj5Tpump,299020454,True,60.02001524,4948349293326,1000000000000000,11397.2006939236,44254046239,727391114616921
22ShvZxqExrqdyXygBVHWXtV5h21mKjKVCywZj5Tpump,101980167,True,62.694450968,1622937697234,1000000000000000,11905.04929431352,45025630711,714926132434855
22ShvZxqExrqdyXygBVHWXtV5h21mKjKVCywZj5Tpump,1960396039,True,92.117345112,20395443596085,1000000000000000,17492.16266331768,56613295142,568594354835771
22ShvZxqExrqdyXygBVHWXtV5h21mKjKVCywZj5Tpump,3457706927,False,86.449486081,48453621125561,1000000000000000,16415.892911921088,46230555298,696292740374387
22ShvZxqExrqdyXygBVHWXtV5h21mKjKVCywZj5Tpump,10305594,False,59.408226313,173511731300,1000000000000000,11281.02809457557,43720127828,736274151924350
22ShvZxqExrqdyXygBVHWXtV5h21mKjKVCywZj5Tpump,1322846478,False,40.975171667,24250172977067,1000000000000000,7780.775347846629,41248019319,780401109452062
22ShvZxqExrqdyXygBVHWXtV5h21mKjKVCywZj5Tpump,400000001,True,63.885950141,6206413438676,1000000000000000,12131.30307227449,45748525211,703629240718674
22ShvZxqExrqdyXygBVHWXtV5h21mKjKVCywZj5Tpump,303837360,True,70.54803357,4279529786541,1000000000000000,13396.3660946073,47958230703,671209083169185
22ShvZxqExrqdyXygBVHWXtV5h21mKjKVCywZj5Tpump,23127748,True,73.098943732,316238857157,1000000000000000,13880.758425269478,48531426041,663281561820499
22ShvZxqExrqdyXygBVHWXtV5h21mKjKVCywZj5Tpump,1224735219,False,70.372103878,17863371996260,1000000000000000,13362.95880539342,46370201785,694195815974611
